date,P&L
2020-11-26,1473.24
2020-11-26,1558.83
2020-11-27,-1.01
2020-11-30,-1150
2020-11-30,-8.99
2020-11-30,1.01
2020-12-01,2019.52
2020-12-02,-58.14
2020-12-02,-45
2020-12-02,-29.46
2020-12-02,-150
2020-12-03,-90.87
2020-12-04,1909.85
2020-12-04,-140
2020-12-04,-6.8
2020-12-04,-2.5
2020-12-04,-3.5
2020-12-05,-3.5
2020-12-05,-3.5
2020-12-05,-31.97
2020-12-06,-2.5
2020-12-06,-2.5
2020-12-06,-3.5
2020-12-06,-33.83
2020-12-07,-61.99
2020-12-07,-70.8
2020-12-07,-85
2020-12-07,30.4
2020-12-07,-11.39
2020-12-07,-3.5
2020-12-08,-2.5
2020-12-09,-4.99
2020-12-09,-32.38
2020-12-10,2644.5
2020-12-10,-2.5
2020-12-11,-177.14
2020-12-12,-3.5
2020-12-13,-4.99
2020-12-13,-3.5
2020-12-13,-50.72
2020-12-14,-58.5
2020-12-14,-59.99
2020-12-14,-3.5
2020-12-15,-3.5
2020-12-16,-52
2020-12-16,-3.5
2020-12-16,-3.5
2020-12-17,-17
2020-12-17,-3.5
2020-12-18,692.6
2020-12-18,-668.65
2020-12-18,-700
2020-12-18,-30
2020-12-18,-3.5
2020-12-18,-3.5
2020-12-19,-48.92
2020-12-19,-3.5
2020-12-20,-10
2020-12-20,-10
2020-12-20,-2.5
2020-12-21,-39.09
2020-12-21,-75
2020-12-21,-2.89
2020-12-23,-2.5
2020-12-24,-35.19
2020-12-24,-13.23
2020-12-25,-22.97
2020-12-25,-42.73
2020-12-25,-3.5
2020-12-25,-44.14
2020-12-28,-63.96
2020-12-28,-77.5
2020-12-29,-58.4
2020-12-29,-2.5
2020-12-31,-19.92
2021-01-01,-52
2021-01-01,-2.5
2021-01-02,-4.99
2021-01-02,-1150
2021-01-02,-37.58
2021-01-02,-54.98
2021-01-02,-67.45
2021-01-04,-39.79
2021-01-04,-54.8
2021-01-04,-48.8
2021-01-04,-334.8
2021-01-04,2010.52
2021-01-05,2226.77
2021-01-05,-28.45
2021-01-06,-3.5
2021-01-07,-53.8
2021-01-07,-22.64
2021-01-08,-46.8
2021-01-10,-30
2021-01-10,-30.24
2021-01-11,-36.49
2021-01-11,-62.3
2021-01-11,-2.5
2021-01-11,-2.5
2021-01-12,-2.5
2021-01-13,-4.99
2021-01-13,-80
2021-01-13,-2.5
2021-01-13,-49.99
2021-01-14,0.16
2021-01-14,0.12
2021-01-14,-24.87
2021-01-14,-19.98
2021-01-15,-95
2021-01-15,23
